Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:03.880,Sometimes the simplest questions have the most amazing answers.,0.624
00:00:04.160,00:00:06.340,"Like ""Is there a speed limit, in the universe?""",0.3612
00:00:06.540,00:00:08.540,"""Where does the sun get that energy from?""",0.2732
00:00:08.540,00:00:10.980,"""Where do they get the matter, to *make* the tree?""",0.0258
00:00:10.980,00:00:13.440,"""What is a candle flame really made of?""",0.0
00:00:14.040,00:00:14.980,"""Whoaah!""",0.0
00:00:15.220,00:00:16.760,"""How does it do that?""",0.0
00:00:16.840,00:00:17.680,"""Go the laws of physics!""",0.0
00:00:17.680,00:00:18.780,"""I can't see the X!""",0.0
00:00:18.780,00:00:20.340,"""I guess the question is, 'Why not?'""",0.0
00:00:20.460,00:00:22.160,I make videos about science.,0.0
00:00:22.340,00:00:25.020,"""The first principle is that you must not fool yourself.""",0.3412
00:00:25.020,00:00:29.740,"Click on this video to see more, and subscribe for a new science video every week.",0.0
